,image1,image2,label
0,C:\Users\Mert\PycharmProjects\Google_Facenet_Test_Clean_Data\CASIA-WebFace\0000996\019.jpg,C:\Users\Mert\PycharmProjects\Google_Facenet_Test_Clean_Data\CASIA-WebFace\0000996\014.jpg,1
1,C:\Users\Mert\PycharmProjects\Google_Facenet_Test_Clean_Data\CASIA-WebFace\0000996\019.jpg,C:\Users\Mert\PycharmProjects\Google_Facenet_Test_Clean_Data\CASIA-WebFace\0304830\008.jpg,0
2,C:\Users\Mert\PycharmProjects\Google_Facenet_Test_Clean_Data\CASIA-WebFace\0402137\022.jpg,C:\Users\Mert\PycharmProjects\Google_Facenet_Test_Clean_Data\CASIA-WebFace\0402137\024.jpg,1
3,C:\Users\Mert\PycharmProjects\Google_Facenet_Test_Clean_Data\CASIA-WebFace\0402137\022.jpg,C:\Users\Mert\PycharmProjects\Google_Facenet_Test_Clean_Data\CASIA-WebFace\0381416\036.jpg,0
4,C:\Users\Mert\PycharmProjects\Google_Facenet_Test_Clean_Data\CASIA-WebFace\2819316\022.jpg,C:\Users\Mert\PycharmProjects\Google_Facenet_Test_Clean_Data\CASIA-WebFace\2819316\006.jpg,1
5,C:\Users\Mert\PycharmProjects\Google_Facenet_Test_Clean_Data\CASIA-WebFace\2819316\022.jpg,C:\Users\Mert\PycharmProjects\Google_Facenet_Test_Clean_Data\CASIA-WebFace\3012064\001.jpg,0
6,C:\Users\Mert\PycharmProjects\Google_Facenet_Test_Clean_Data\CASIA-WebFace\1416900\015.jpg,C:\Users\Mert\PycharmProjects\Google_Facenet_Test_Clean_Data\CASIA-WebFace\1416900\004.jpg,1
7,C:\Users\Mert\PycharmProjects\Google_Facenet_Test_Clean_Data\CASIA-WebFace\1416900\015.jpg,C:\Users\Mert\PycharmProjects\Google_Facenet_Test_Clean_Data\CASIA-WebFace\5191227\006.jpg,0
8,C:\Users\Mert\PycharmProjects\Google_Facenet_Test_Clean_Data\CASIA-WebFace\0607175\009.jpg,C:\Users\Mert\PycharmProjects\Google_Facenet_Test_Clean_Data\CASIA-WebFace\0607175\013.jpg,1
9,C:\Users\Mert\PycharmProjects\Google_Facenet_Test_Clean_Data\CASIA-WebFace\0607175\009.jpg,C:\Users\Mert\PycharmProjects\Google_Facenet_Test_Clean_Data\CASIA-WebFace\1343638\003.jpg,0
